Transaction_ID,Category
TXN00001,Payroll
TXN00002,Payroll
TXN00003,Operations
TXN00004,Payroll
TXN00005,Inventory
TXN00006,Sales
TXN00007,Inventory
TXN00008,Marketing
TXN00009,Payroll
TXN00010,Inventory
TXN00011,Payroll
TXN00012,Sales
TXN00013,Operations
TXN00014,Inventory
TXN00015,Inventory
TXN00016,Sales
TXN00017,Payroll
TXN00018,Operations
TXN00019,Operations
TXN00020,Payroll
TXN00021,Marketing
TXN00022,Inventory
TXN00023,Marketing
TXN00024,Operations
TXN00025,Sales
TXN00026,Sales
TXN00027,Inventory
TXN00028,Inventory
TXN00029,Marketing
TXN00030,Operations
TXN00031,Inventory
TXN00032,Payroll
TXN00033,Payroll
TXN00034,Payroll
TXN00035,Sales
TXN00036,Payroll
TXN00037,Marketing
TXN00038,Marketing
TXN00039,Sales
TXN00040,Payroll
TXN00041,Inventory
TXN00042,Inventory
TXN00043,Inventory
TXN00044,Operations
TXN00045,Marketing
TXN00046,Marketing
TXN00047,Payroll
TXN00048,Inventory
TXN00049,Payroll
TXN00050,Payroll
TXN00051,Marketing
TXN00052,Marketing
TXN00053,Marketing
TXN00054,Marketing
TXN00055,Inventory
TXN00056,Payroll
TXN00057,Payroll
TXN00058,Payroll
TXN00059,Marketing
TXN00060,Inventory
TXN00061,Inventory
TXN00062,Payroll
TXN00063,Payroll
TXN00064,Sales
TXN00065,Inventory
TXN00066,Payroll
TXN00067,Marketing
TXN00068,Operations
TXN00069,Inventory
TXN00070,Payroll
TXN00071,Marketing
TXN00072,Operations
TXN00073,Operations
TXN00074,Inventory
TXN00075,Operations
TXN00076,Marketing
TXN00077,Payroll
TXN00078,Operations
TXN00079,Operations
TXN00080,Payroll
TXN00081,Inventory
TXN00082,Operations
TXN00083,Sales
TXN00084,Marketing
TXN00085,Marketing
TXN00086,Operations
TXN00087,Sales
TXN00088,Inventory
TXN00089,Operations
TXN00090,Sales
TXN00091,Marketing
TXN00092,Operations
TXN00093,Operations
TXN00094,Operations
TXN00095,Operations
TXN00096,Marketing
TXN00097,Sales
TXN00098,Marketing
TXN00099,Operations
TXN00100,Marketing
TXN00101,Payroll
TXN00102,Operations
TXN00103,Sales
TXN00104,Operations
TXN00105,Marketing
TXN00106,Operations
TXN00107,Operations
TXN00108,Operations
TXN00109,Operations
TXN00110,Payroll
TXN00111,Marketing
TXN00112,Operations
TXN00113,Marketing
TXN00114,Operations
TXN00115,Payroll
TXN00116,Inventory
TXN00117,Payroll
TXN00118,Inventory
TXN00119,Operations
TXN00120,Marketing
TXN00121,Sales
TXN00122,Inventory
TXN00123,Marketing
TXN00124,Payroll
TXN00125,Operations
TXN00126,Marketing
TXN00127,Marketing
TXN00128,Payroll
TXN00129,Operations
TXN00130,Sales
TXN00131,Sales
TXN00132,Payroll
TXN00133,Payroll
TXN00134,Sales
TXN00135,Marketing
TXN00136,Inventory
TXN00137,Marketing
TXN00138,Operations
TXN00139,Operations
TXN00140,Operations
TXN00141,Sales
TXN00142,Marketing
TXN00143,Payroll
TXN00144,Inventory
TXN00145,Payroll
TXN00146,Operations
TXN00147,Payroll
TXN00148,Operations
TXN00149,Inventory
TXN00150,Sales
TXN00151,Payroll
TXN00152,Marketing
TXN00153,Inventory
