Transaction_ID,Amount
TXN00001,952.11
TXN00002,3293.29
TXN00003,2849.97
TXN00004,9813.53
TXN00005,1228.69
TXN00006,3741.85
TXN00007,9292.19
TXN00008,1069.64
TXN00009,3242.15
TXN00010,298.46
TXN00011,4607.73
TXN00012,7079.99
TXN00013,4803.75
TXN00014,6287.28
TXN00015,2700.49
TXN00016,6583.48
TXN00017,3300.97
TXN00018,448.03
TXN00019,6227.42
TXN00020,4536.49
TXN00021,9474.71
TXN00022,9998.21
TXN00023,9069.71
TXN00024,7972.36
TXN00025,1301.91
TXN00026,8634.16
TXN00027,8017.56
TXN00028,2836.71
TXN00029,7983.49
TXN00030,7440.56
TXN00031,5476.09
TXN00032,6026.89
TXN00033,934.58
TXN00034,2559.09
TXN00035,2408.4
TXN00036,7711.07
TXN00037,3995.18
TXN00038,214.92
TXN00039,2090.15
TXN00040,3891.14
TXN00041,4029.94
TXN00042,6475.21
TXN00043,9544.78
TXN00044,1549.81
TXN00045,2992.48
TXN00046,8012.99
TXN00047,7361.53
TXN00048,9217.78
TXN00049,9038.31
TXN00050,6039.1
TXN00051,3596.85
TXN00052,970.15
TXN00053,3680.89
TXN00054,2006.71
TXN00055,4459.97
TXN00056,3887.01
TXN00057,2692.11
TXN00058,6007.4
TXN00059,911.32
TXN00060,4231.14
TXN00061,3688.68
TXN00062,1871.69
TXN00063,6310.56
TXN00064,938.55
TXN00065,5138.28
TXN00066,9732.99
TXN00067,6767.64
TXN00068,6479.63
TXN00069,7139.22
TXN00070,9307.37
TXN00071,5277.51
TXN00072,6475.78
TXN00073,848.86
TXN00074,4687.51
TXN00075,801.04
TXN00076,8017.43
TXN00077,3010.93
TXN00078,9842.02
TXN00079,6846.3
TXN00080,3011.08
TXN00081,2494.05
TXN00082,4283.04
TXN00083,5689.67
TXN00084,5514.43
TXN00085,9173.85
TXN00086,5139.01
TXN00087,5111.41
TXN00088,4136.06
TXN00089,4651.92
TXN00090,7205.9
TXN00091,8130.12
TXN00092,3561.02
TXN00093,5859.82
TXN00094,7688.78
TXN00095,172.52
TXN00096,7407.76
TXN00097,4634.16
TXN00098,7863.91
TXN00099,8430.67
TXN00100,462.13
TXN00101,4168.35
TXN00102,7046.74
TXN00103,3146.32
TXN00104,7243.71
TXN00105,7575.97
TXN00106,4504.98
TXN00107,8080.26
TXN00108,3419.93
TXN00109,9181.94
TXN00110,8101.96
TXN00111,2118.57
TXN00112,791.42
TXN00113,9822.04
TXN00114,2600.58
TXN00115,6737.35
TXN00116,4343.65
TXN00117,188.97
TXN00118,3955.39
TXN00119,142.91
TXN00120,6561.45
TXN00121,4607.03
TXN00122,4056.87
TXN00123,6580.59
TXN00124,7445.03
TXN00125,7261.85
TXN00126,3034.97
TXN00127,8133.19
TXN00128,6171.28
TXN00129,6909.72
TXN00130,9631.78
TXN00131,6754.27
TXN00132,8048.36
TXN00133,885.47
TXN00134,1359.79
TXN00135,1916.11
TXN00136,8161.52
TXN00137,6963.36
TXN00138,1890.33
TXN00139,277.88
TXN00140,4816.36
TXN00141,1460.09
TXN00142,2425.38
TXN00143,8422.48
TXN00144,8583.31
TXN00145,5390.44
TXN00146,870.07
TXN00147,7699.51
TXN00148,1490.17
TXN00149,4224.57
TXN00150,1173.42
TXN00151,9025.13
TXN00152,7390.42
TXN00153,4458.21
TXN00154,4855.62
TXN00155,206.08
TXN00156,4500.67
TXN00157,2433.87
TXN00158,2955.37
TXN00159,8296.21
TXN00160,3923.42
TXN00161,3345.16
TXN00162,1035.61
TXN00163,8477.82
TXN00164,4323.56
TXN00165,4162.7
TXN00166,4962.08
TXN00167,5790.83
TXN00168,7313.47
TXN00169,9990.27
TXN00170,379.8
TXN00171,4002.81
TXN00172,5138.42
TXN00173,7248.9
TXN00174,9353.46
TXN00175,9051.68
TXN00176,8677.67
TXN00177,2326.74
TXN00178,616.44
TXN00179,200.01
TXN00180,5768.27
TXN00181,5537.02
TXN00182,2685.81
TXN00183,6486.52
TXN00184,8892.51
TXN00185,1178.24
TXN00186,6230.74
TXN00187,6465.34
TXN00188,4488.77
TXN00189,4367.94
TXN00190,1621.72
TXN00191,7264.83
TXN00192,4697.71
TXN00193,4386.73
TXN00194,5081.28
TXN00195,5880.71
TXN00196,6852.89
TXN00197,9218.14
TXN00198,8536.0
TXN00199,7154.84
TXN00200,4689.99
TXN00201,8832.9
TXN00202,7232.72
TXN00203,3909.81
TXN00204,4174.44
TXN00205,9412.56
TXN00206,6528.48
TXN00207,3608.95
TXN00208,4728.53
TXN00209,9709.71
TXN00210,1628.64
TXN00211,2080.01
TXN00212,6910.07
TXN00213,871.06
TXN00214,4834.07
TXN00215,1741.18
TXN00216,1571.58
TXN00217,4926.94
TXN00218,7936.89
TXN00219,9431.12
TXN00220,4942.31
TXN00221,2354.84
TXN00222,5572.74
TXN00223,9992.62
TXN00224,3594.28
TXN00225,2615.47
TXN00226,6772.51
TXN00227,1755.4
TXN00228,8596.02
TXN00229,5039.75
TXN00230,8070.09
TXN00231,3383.97
TXN00232,1148.55
TXN00233,2274.64
TXN00234,5624.19
TXN00235,4868.79
TXN00236,9936.69
TXN00237,7851.01
TXN00238,7696.05
TXN00239,7703.25
TXN00240,5574.65
TXN00241,8964.21
TXN00242,8535.55
TXN00243,8738.22
TXN00244,6046.85
TXN00245,1050.38
TXN00246,513.72
TXN00247,9463.21
TXN00248,7991.88
TXN00249,9626.84
TXN00250,7560.09
TXN00251,9746.85
TXN00252,7818.71
TXN00253,6100.46
TXN00254,8585.29
TXN00255,1027.66
TXN00256,5629.1
TXN00257,5077.98
TXN00258,1678.79
TXN00259,1189.41
TXN00260,2061.81
TXN00261,3622.77
TXN00262,7286.21
TXN00263,7084.55
TXN00264,7622.03
TXN00265,4988.93
TXN00266,8706.22
TXN00267,1551.41
TXN00268,3643.73
TXN00269,8193.42
TXN00270,1238.6
TXN00271,2026.88
TXN00272,9696.67
TXN00273,7694.5
TXN00274,75.81
TXN00275,8349.79
TXN00276,4741.9
TXN00277,2874.72
TXN00278,1720.91
TXN00279,2667.5
TXN00280,7154.85
TXN00281,4155.94
TXN00282,6298.11
TXN00283,2462.06
TXN00284,7534.53
TXN00285,5301.21
TXN00286,7874.29
TXN00287,1388.56
TXN00288,4293.94
TXN00289,9181.02
TXN00290,8981.67
TXN00291,9518.89
TXN00292,5166.39
TXN00293,6825.16
TXN00294,9437.97
TXN00295,4431.36
TXN00296,7703.82
TXN00297,7179.08
TXN00298,5178.31
TXN00299,705.12
TXN00300,3389.65
TXN00301,4022.49
TXN00302,7726.0
TXN00303,4346.38
TXN00304,3938.73
TXN00305,380.57
TXN00306,9225.96
TXN00307,1518.01
TXN00308,5749.83
TXN00309,9777.55
TXN00310,9800.67
TXN00311,7992.72
TXN00312,8759.38
TXN00313,9726.88
TXN00314,4198.86
TXN00315,8858.97
TXN00316,7010.9
TXN00317,8736.73
TXN00318,7218.29
TXN00319,3143.82
TXN00320,3448.13
TXN00321,8271.77
TXN00322,9003.08
TXN00323,6107.91
TXN00324,1477.15
TXN00325,4045.34
TXN00326,6442.35
TXN00327,8876.92
TXN00328,6247.35
TXN00329,6185.69
TXN00330,4427.02
TXN00331,3459.05
TXN00332,8120.19
TXN00333,6491.08
TXN00334,7756.25
TXN00335,8810.94
TXN00336,851.97
TXN00337,5378.96
