Transaction_ID,Date,YearMonth
TXN00001,2024-08-18,2024-08
TXN00002,2024-11-26,2024-11
TXN00003,2024-04-30,2024-04
TXN00004,2024-03-23,2024-03
TXN00005,2024-07-03,2024-07
TXN00006,2024-02-22,2024-02
TXN00007,2024-05-20,2024-05
TXN00008,2024-12-21,2024-12
TXN00009,2024-04-07,2024-04
TXN00010,2024-03-13,2024-03
TXN00011,2024-10-10,2024-10
TXN00012,2024-06-20,2024-06
TXN00013,2025-01-05,2025-01
TXN00014,2024-01-25,2024-01
TXN00015,2024-01-14,2024-01
TXN00016,2024-10-21,2024-10
TXN00017,2024-01-16,2024-01
TXN00018,2024-11-18,2024-11
TXN00019,2024-02-01,2024-02
TXN00020,2024-05-12,2024-05
TXN00021,2024-08-22,2024-08
TXN00022,2024-07-31,2024-07
TXN00023,2024-10-15,2024-10
TXN00024,2024-09-26,2024-09
TXN00025,2024-06-16,2024-06
TXN00026,2024-08-30,2024-08
TXN00027,2024-06-14,2024-06
TXN00028,2024-01-24,2024-01
TXN00029,2024-01-28,2024-01
TXN00030,2024-04-26,2024-04
TXN00031,2024-05-29,2024-05
TXN00032,2024-05-13,2024-05
TXN00033,2024-11-27,2024-11
TXN00034,2024-07-20,2024-07
TXN00035,2024-11-27,2024-11
TXN00036,2024-05-30,2024-05
TXN00037,2024-06-09,2024-06
TXN00038,2024-04-18,2024-04
TXN00039,2024-04-17,2024-04
TXN00040,2024-03-09,2024-03
TXN00041,2024-03-18,2024-03
TXN00042,2024-10-09,2024-10
TXN00043,2024-08-16,2024-08
TXN00044,2024-05-03,2024-05
TXN00045,2024-08-06,2024-08
TXN00046,2024-05-09,2024-05
TXN00047,2024-11-11,2024-11
TXN00048,2024-04-15,2024-04
TXN00049,2024-06-25,2024-06
TXN00050,2024-07-27,2024-07
TXN00051,2024-10-09,2024-10
TXN00052,2024-07-01,2024-07
TXN00053,2024-04-21,2024-04
TXN00054,2024-02-23,2024-02
TXN00055,2024-03-14,2024-03
TXN00056,2024-01-08,2024-01
