Transaction_ID,Failed_Attempts
TXN00001,2
TXN00002,1
TXN00003,2
TXN00004,3
TXN00005,1
TXN00006,5
TXN00007,4
TXN00008,3
TXN00009,5
TXN00010,1
TXN00011,5
TXN00012,2
TXN00013,2
TXN00014,5
TXN00015,5
TXN00016,0
TXN00017,2
TXN00018,5
TXN00019,5
TXN00020,0
TXN00021,4
TXN00022,2
TXN00023,0
TXN00024,2
TXN00025,3
TXN00026,5
TXN00027,3
TXN00028,0
TXN00029,3
TXN00030,4
TXN00031,1
TXN00032,4
TXN00033,5
TXN00034,4
TXN00035,4
TXN00036,1
TXN00037,0
TXN00038,4
TXN00039,5
TXN00040,1
TXN00041,2
TXN00042,2
TXN00043,3
TXN00044,4
TXN00045,1
TXN00046,0
TXN00047,3
TXN00048,1
TXN00049,3
TXN00050,1
TXN00051,4
TXN00052,3
TXN00053,0
TXN00054,1
TXN00055,4
TXN00056,3
TXN00057,5
TXN00058,2
TXN00059,5
TXN00060,5
TXN00061,5
TXN00062,5
TXN00063,5
TXN00064,3
TXN00065,1
TXN00066,1
TXN00067,5
TXN00068,1
TXN00069,1
TXN00070,1
TXN00071,1
TXN00072,2
TXN00073,1
TXN00074,3
TXN00075,1
TXN00076,3
TXN00077,4
TXN00078,5
TXN00079,1
TXN00080,3
TXN00081,4
TXN00082,5
TXN00083,0
TXN00084,1
TXN00085,2
TXN00086,2
TXN00087,0
TXN00088,2
TXN00089,2
TXN00090,1
TXN00091,4
TXN00092,3
TXN00093,4
TXN00094,2
TXN00095,3
TXN00096,2
TXN00097,4
TXN00098,0
TXN00099,2
TXN00100,2
TXN00101,3
TXN00102,2
TXN00103,5
TXN00104,0
TXN00105,3
TXN00106,3
TXN00107,2
TXN00108,1
TXN00109,2
TXN00110,2
TXN00111,0
TXN00112,0
TXN00113,2
TXN00114,3
TXN00115,4
TXN00116,2
TXN00117,5
TXN00118,5
TXN00119,0
TXN00120,3
TXN00121,5
TXN00122,2
TXN00123,1
TXN00124,2
TXN00125,1
TXN00126,1
TXN00127,4
TXN00128,1
TXN00129,5
TXN00130,1
TXN00131,2
TXN00132,2
TXN00133,2
TXN00134,5
TXN00135,4
TXN00136,1
TXN00137,2
TXN00138,5
TXN00139,2
TXN00140,0
TXN00141,4
TXN00142,4
TXN00143,2
TXN00144,2
TXN00145,0
TXN00146,4
TXN00147,5
TXN00148,5
TXN00149,4
TXN00150,3
TXN00151,3
TXN00152,2
TXN00153,2
TXN00154,3
TXN00155,1
TXN00156,5
TXN00157,4
TXN00158,0
TXN00159,5
TXN00160,2
TXN00161,5
TXN00162,3
TXN00163,0
TXN00164,3
TXN00165,3
TXN00166,1
TXN00167,2
TXN00168,5
TXN00169,0
TXN00170,0
TXN00171,5
TXN00172,3
TXN00173,1
TXN00174,1
TXN00175,0
TXN00176,2
TXN00177,1
TXN00178,5
TXN00179,3
TXN00180,3
TXN00181,0
TXN00182,2
TXN00183,4
TXN00184,2
TXN00185,4
TXN00186,3
TXN00187,1
TXN00188,2
TXN00189,4
TXN00190,2
TXN00191,4
TXN00192,1
TXN00193,3
TXN00194,0
TXN00195,2
TXN00196,1
TXN00197,4
TXN00198,5
TXN00199,5
TXN00200,1
TXN00201,0
TXN00202,2
TXN00203,3
TXN00204,4
TXN00205,1
TXN00206,5
TXN00207,0
TXN00208,4
TXN00209,0
TXN00210,4
TXN00211,1
TXN00212,0
TXN00213,5
TXN00214,3
TXN00215,5
TXN00216,4
TXN00217,0
TXN00218,4
TXN00219,4
TXN00220,4
TXN00221,1
TXN00222,1
TXN00223,0
TXN00224,4
TXN00225,1
TXN00226,2
TXN00227,1
TXN00228,5
TXN00229,0
TXN00230,0
TXN00231,5
TXN00232,5
TXN00233,4
TXN00234,2
TXN00235,1
TXN00236,1
TXN00237,5
TXN00238,2
TXN00239,5
TXN00240,2
TXN00241,3
TXN00242,4
TXN00243,0
TXN00244,1
TXN00245,0
TXN00246,5
TXN00247,1
TXN00248,3
TXN00249,4
TXN00250,1
TXN00251,4
TXN00252,4
TXN00253,0
TXN00254,1
TXN00255,2
TXN00256,0
TXN00257,0
TXN00258,0
TXN00259,5
TXN00260,1
TXN00261,1
TXN00262,3
TXN00263,4
TXN00264,4
TXN00265,1
TXN00266,2
TXN00267,3
TXN00268,4
TXN00269,4
TXN00270,4
TXN00271,4
TXN00272,1
TXN00273,2
TXN00274,4
TXN00275,5
TXN00276,5
TXN00277,5
TXN00278,2
TXN00279,1
TXN00280,1
TXN00281,3
TXN00282,0
TXN00283,1
TXN00284,1
TXN00285,1
TXN00286,2
TXN00287,0
TXN00288,4
TXN00289,0
TXN00290,5
TXN00291,3
TXN00292,3
TXN00293,5
TXN00294,0
TXN00295,0
TXN00296,1
TXN00297,3
TXN00298,4
TXN00299,0
TXN00300,3
TXN00301,0
TXN00302,2
TXN00303,0
TXN00304,3
TXN00305,4
TXN00306,2
TXN00307,1
TXN00308,2
TXN00309,3
TXN00310,0
TXN00311,4
TXN00312,4
TXN00313,4
TXN00314,4
TXN00315,2
TXN00316,4
TXN00317,1
TXN00318,5
TXN00319,0
TXN00320,4
TXN00321,2
TXN00322,0
TXN00323,2
TXN00324,0
TXN00325,1
TXN00326,1
TXN00327,5
TXN00328,4
TXN00329,3
TXN00330,3
TXN00331,0
TXN00332,0
TXN00333,4
TXN00334,4
TXN00335,4
TXN00336,5
TXN00337,3
TXN00338,5
TXN00339,2
TXN00340,4
TXN00341,2
TXN00342,0
TXN00343,0
TXN00344,3
TXN00345,0
TXN00346,2
TXN00347,4
TXN00348,0
TXN00349,1
TXN00350,3
TXN00351,2
TXN00352,4
TXN00353,5
TXN00354,3
TXN00355,1
TXN00356,3
TXN00357,1
TXN00358,5
TXN00359,2
TXN00360,4
TXN00361,5
TXN00362,5
TXN00363,0
TXN00364,0
TXN00365,1
TXN00366,2
TXN00367,4
TXN00368,4
TXN00369,3
TXN00370,4
TXN00371,2
TXN00372,4
TXN00373,5
TXN00374,1
TXN00375,2
TXN00376,1
TXN00377,5
TXN00378,1
TXN00379,4
TXN00380,5
TXN00381,5
TXN00382,3
TXN00383,4
TXN00384,5
TXN00385,3
TXN00386,5
TXN00387,3
TXN00388,0
TXN00389,2
TXN00390,2
TXN00391,5
TXN00392,1
TXN00393,5
TXN00394,4
TXN00395,5
TXN00396,2
TXN00397,5
TXN00398,4
TXN00399,4
TXN00400,2
TXN00401,3
TXN00402,0
TXN00403,4
TXN00404,2
TXN00405,3
TXN00406,5
TXN00407,5
TXN00408,3
TXN00409,0
TXN00410,0
TXN00411,3
TXN00412,0
TXN00413,4
TXN00414,0
TXN00415,5
TXN00416,5
TXN00417,5
TXN00418,5
TXN00419,0
TXN00420,1
TXN00421,2
TXN00422,1
TXN00423,1
TXN00424,3
TXN00425,1
TXN00426,2
TXN00427,4
TXN00428,1
TXN00429,0
TXN00430,5
TXN00431,3
TXN00432,1
TXN00433,1
TXN00434,2
TXN00435,0
TXN00436,2
TXN00437,5
TXN00438,0
TXN00439,2
TXN00440,2
TXN00441,4
TXN00442,5
TXN00443,4
TXN00444,5
TXN00445,3
TXN00446,3
TXN00447,1
TXN00448,0
TXN00449,5
TXN00450,5
TXN00451,2
TXN00452,5
TXN00453,1
TXN00454,4
TXN00455,3
TXN00456,0
TXN00457,3
TXN00458,0
TXN00459,0
TXN00460,2
TXN00461,2
TXN00462,1
TXN00463,0
TXN00464,0
TXN00465,5
TXN00466,4
TXN00467,4
TXN00468,4
TXN00469,2
TXN00470,4
TXN00471,2
TXN00472,4
TXN00473,5
TXN00474,0
TXN00475,4
TXN00476,1
TXN00477,5
TXN00478,5
TXN00479,3
TXN00480,2
TXN00481,5
TXN00482,4
TXN00483,2
TXN00484,0
TXN00485,3
TXN00486,1
TXN00487,1
TXN00488,3
TXN00489,5
TXN00490,3
TXN00491,3
TXN00492,2
TXN00493,4
TXN00494,0
TXN00495,2
TXN00496,1
TXN00497,0
TXN00498,1
TXN00499,3
TXN00500,2
TXN00501,0
TXN00502,5
TXN00503,0
TXN00504,5
TXN00505,0
TXN00506,4
TXN00507,4
TXN00508,0
TXN00509,0
TXN00510,0
TXN00511,0
TXN00512,3
TXN00513,1
TXN00514,4
TXN00515,1
TXN00516,1
TXN00517,2
TXN00518,2
TXN00519,1
TXN00520,1
TXN00521,3
TXN00522,2
TXN00523,2
TXN00524,4
TXN00525,5
TXN00526,2
TXN00527,0
TXN00528,5
TXN00529,4
TXN00530,4
TXN00531,5
TXN00532,5
TXN00533,4
TXN00534,0
TXN00535,5
TXN00536,4
TXN00537,3
TXN00538,4
TXN00539,5
TXN00540,5
TXN00541,2
TXN00542,2
TXN00543,0
TXN00544,3
TXN00545,4
TXN00546,0
TXN00547,2
TXN00548,2
TXN00549,1
TXN00550,3
TXN00551,4
TXN00552,4
TXN00553,0
TXN00554,5
TXN00555,1
TXN00556,2
TXN00557,2
TXN00558,4
TXN00559,5
TXN00560,2
TXN00561,4
TXN00562,4
TXN00563,1
TXN00564,0
TXN00565,2
TXN00566,4
TXN00567,2
TXN00568,0
TXN00569,4
TXN00570,0
TXN00571,4
TXN00572,0
TXN00573,0
TXN00574,0
TXN00575,3
TXN00576,4
TXN00577,2
TXN00578,3
TXN00579,4
TXN00580,4
TXN00581,0
TXN00582,4
TXN00583,4
TXN00584,5
TXN00585,1
TXN00586,1
TXN00587,1
TXN00588,0
TXN00589,3
TXN00590,3
TXN00591,4
TXN00592,1
TXN00593,3
TXN00594,3
TXN00595,2
TXN00596,0
TXN00597,5
TXN00598,1
TXN00599,5
TXN00600,0
TXN00601,3
TXN00602,2
TXN00603,0
TXN00604,2
TXN00605,4
TXN00606,4
TXN00607,4
TXN00608,0
TXN00609,5
TXN00610,3
TXN00611,2
TXN00612,0
TXN00613,4
TXN00614,0
TXN00615,0
TXN00616,3
TXN00617,3
TXN00618,0
TXN00619,0
TXN00620,4
TXN00621,0
TXN00622,3
TXN00623,4
TXN00624,3
TXN00625,2
TXN00626,0
TXN00627,0
TXN00628,2
TXN00629,4
TXN00630,1
TXN00631,0
TXN00632,4
TXN00633,3
TXN00634,2
TXN00635,1
TXN00636,5
TXN00637,3
TXN00638,2
TXN00639,4
TXN00640,2
TXN00641,2
TXN00642,5
TXN00643,2
TXN00644,5
TXN00645,4
TXN00646,1
TXN00647,4
TXN00648,1
TXN00649,0
TXN00650,4
TXN00651,2
TXN00652,5
TXN00653,3
TXN00654,3
TXN00655,5
TXN00656,5
TXN00657,2
TXN00658,2
TXN00659,4
TXN00660,1
TXN00661,2
TXN00662,3
TXN00663,4
TXN00664,0
TXN00665,1
TXN00666,3
TXN00667,4
TXN00668,4
TXN00669,4
TXN00670,5
TXN00671,0
TXN00672,0
TXN00673,3
TXN00674,5
TXN00675,5
TXN00676,5
TXN00677,4
TXN00678,3
TXN00679,5
TXN00680,5
TXN00681,5
TXN00682,1
TXN00683,1
TXN00684,0
TXN00685,0
TXN00686,4
TXN00687,3
TXN00688,0
TXN00689,5
TXN00690,1
TXN00691,0
TXN00692,3
TXN00693,5
TXN00694,4
TXN00695,0
TXN00696,3
TXN00697,5
TXN00698,3
TXN00699,1
TXN00700,1
TXN00701,5
TXN00702,1
TXN00703,2
TXN00704,2
TXN00705,4
TXN00706,4
TXN00707,0
TXN00708,0
TXN00709,5
TXN00710,5
TXN00711,5
TXN00712,4
TXN00713,5
TXN00714,0
TXN00715,1
TXN00716,5
TXN00717,3
TXN00718,3
TXN00719,3
TXN00720,0
TXN00721,2
TXN00722,0
TXN00723,4
TXN00724,0
TXN00725,3
TXN00726,4
TXN00727,2
TXN00728,2
TXN00729,1
TXN00730,2
TXN00731,3
TXN00732,3
TXN00733,3
TXN00734,5
TXN00735,0
TXN00736,0
TXN00737,2
TXN00738,5
TXN00739,1
TXN00740,2
TXN00741,4
TXN00742,3
TXN00743,3
TXN00744,2
TXN00745,3
TXN00746,0
TXN00747,1
TXN00748,2
TXN00749,2
TXN00750,2
TXN00751,2
TXN00752,4
TXN00753,2
TXN00754,3
TXN00755,4
TXN00756,5
TXN00757,2
TXN00758,0
TXN00759,4
TXN00760,3
TXN00761,0
TXN00762,2
TXN00763,4
TXN00764,4
TXN00765,0
TXN00766,0
TXN00767,5
TXN00768,5
TXN00769,2
TXN00770,0
TXN00771,5
TXN00772,4
TXN00773,0
TXN00774,2
TXN00775,2
TXN00776,5
TXN00777,2
TXN00778,2
TXN00779,4
TXN00780,3
TXN00781,1
TXN00782,5
TXN00783,5
TXN00784,2
TXN00785,1
TXN00786,0
TXN00787,3
TXN00788,2
TXN00789,1
TXN00790,4
TXN00791,4
TXN00792,3
TXN00793,5
TXN00794,1
TXN00795,4
TXN00796,5
TXN00797,0
TXN00798,3
TXN00799,3
TXN00800,3
TXN00801,5
TXN00802,3
TXN00803,3
TXN00804,2
TXN00805,5
TXN00806,1
TXN00807,2
TXN00808,5
TXN00809,2
TXN00810,1
TXN00811,0
TXN00812,1
TXN00813,0
TXN00814,2
TXN00815,3
TXN00816,4
TXN00817,4
TXN00818,3
TXN00819,0
TXN00820,3
TXN00821,2
TXN00822,4
TXN00823,0
TXN00824,0
TXN00825,1
TXN00826,2
TXN00827,2
TXN00828,0
TXN00829,3
TXN00830,3
TXN00831,4
TXN00832,1
TXN00833,3
TXN00834,1
TXN00835,2
TXN00836,0
TXN00837,5
TXN00838,4
TXN00839,3
TXN00840,5
TXN00841,4
TXN00842,0
TXN00843,0
TXN00844,4
TXN00845,1
TXN00846,1
TXN00847,3
TXN00848,0
TXN00849,3
TXN00850,3
TXN00851,1
TXN00852,1
TXN00853,4
TXN00854,5
TXN00855,1
TXN00856,2
TXN00857,1
TXN00858,3
TXN00859,0
TXN00860,0
TXN00861,3
TXN00862,5
TXN00863,3
TXN00864,1
TXN00865,3
TXN00866,2
TXN00867,2
TXN00868,4
TXN00869,0
TXN00870,1
TXN00871,1
TXN00872,3
TXN00873,0
TXN00874,1
TXN00875,2
TXN00876,5
TXN00877,2
TXN00878,1
TXN00879,3
TXN00880,0
TXN00881,0
TXN00882,5
TXN00883,4
TXN00884,1
TXN00885,1
TXN00886,1
TXN00887,5
TXN00888,1
TXN00889,5
TXN00890,5
TXN00891,0
TXN00892,0
TXN00893,1
TXN00894,2
TXN00895,5
TXN00896,1
TXN00897,0
TXN00898,2
TXN00899,5
TXN00900,3
TXN00901,3
TXN00902,5
TXN00903,2
TXN00904,0
TXN00905,3
TXN00906,0
TXN00907,4
TXN00908,5
TXN00909,2
TXN00910,1
TXN00911,1
TXN00912,0
TXN00913,0
TXN00914,2
TXN00915,3
TXN00916,2
TXN00917,5
TXN00918,4
TXN00919,1
TXN00920,2
TXN00921,3
TXN00922,1
TXN00923,5
TXN00924,4
TXN00925,3
TXN00926,2
TXN00927,1
TXN00928,5
TXN00929,0
TXN00930,4
TXN00931,2
TXN00932,4
TXN00933,1
TXN00934,1
TXN00935,3
TXN00936,2
TXN00937,4
TXN00938,1
TXN00939,0
TXN00940,2
TXN00941,1
TXN00942,5
TXN00943,4
TXN00944,3
TXN00945,2
TXN00946,2
TXN00947,4
TXN00948,3
TXN00949,0
TXN00950,3
TXN00951,3
TXN00952,1
TXN00953,5
TXN00954,4
TXN00955,1
TXN00956,5
TXN00957,0
TXN00958,1
TXN00959,1
TXN00960,1
TXN00961,0
TXN00962,3
TXN00963,4
TXN00964,5
TXN00965,4
TXN00966,0
TXN00967,3
TXN00968,0
TXN00969,0
TXN00970,4
TXN00971,1
TXN00972,0
TXN00973,5
TXN00974,2
TXN00975,2
TXN00976,3
TXN00977,2
TXN00978,5
TXN00979,0
TXN00980,1
TXN00981,2
TXN00982,0
TXN00983,1
TXN00984,0
TXN00985,4
TXN00986,4
TXN00987,1
TXN00988,5
TXN00989,1
TXN00990,2
TXN00991,0
TXN00992,5
TXN00993,0
TXN00994,3
TXN00995,4
TXN00996,5
TXN00997,0
TXN00998,4
TXN00999,2
TXN01000,2
TXN01001,5
TXN01002,5
TXN01003,2
TXN01004,5
TXN01005,2
TXN01006,3
TXN01007,3
TXN01008,5
TXN01009,3
TXN01010,4
TXN01011,5
TXN01012,3
TXN01013,1
TXN01014,2
TXN01015,1
TXN01016,3
TXN01017,3
TXN01018,0
TXN01019,0
TXN01020,3
TXN01021,0
TXN01022,5
TXN01023,1
TXN01024,0
TXN01025,1
TXN01026,2
TXN01027,2
TXN01028,5
TXN01029,3
TXN01030,5
TXN01031,2
TXN01032,0
TXN01033,5
TXN01034,3
TXN01035,2
TXN01036,3
TXN01037,2
TXN01038,4
TXN01039,5
TXN01040,1
TXN01041,1
TXN01042,0
TXN01043,0
TXN01044,1
TXN01045,1
TXN01046,2
TXN01047,1
TXN01048,1
TXN01049,1
TXN01050,3
TXN01051,0
TXN01052,3
TXN01053,3
TXN01054,2
TXN01055,1
TXN01056,1
TXN01057,5
TXN01058,5
TXN01059,1
TXN01060,5
TXN01061,5
TXN01062,2
TXN01063,0
TXN01064,4
TXN01065,4
TXN01066,4
TXN01067,3
TXN01068,5
TXN01069,5
TXN01070,1
TXN01071,0
TXN01072,0
TXN01073,0
TXN01074,2
TXN01075,1
TXN01076,4
TXN01077,1
TXN01078,3
TXN01079,0
TXN01080,4
TXN01081,5
TXN01082,4
TXN01083,1
TXN01084,5
TXN01085,0
TXN01086,3
TXN01087,3
TXN01088,3
TXN01089,5
TXN01090,2
TXN01091,1
TXN01092,0
TXN01093,5
TXN01094,5
TXN01095,5
TXN01096,0
TXN01097,5
TXN01098,0
TXN01099,3
TXN01100,5
TXN01101,1
TXN01102,0
TXN01103,0
TXN01104,0
TXN01105,0
TXN01106,4
TXN01107,0
TXN01108,0
TXN01109,5
TXN01110,2
TXN01111,3
TXN01112,0
TXN01113,0
TXN01114,2
TXN01115,1
TXN01116,5
TXN01117,0
TXN01118,2
TXN01119,4
TXN01120,2
TXN01121,3
TXN01122,3
TXN01123,4
TXN01124,3
TXN01125,5
TXN01126,2
TXN01127,0
TXN01128,0
TXN01129,1
TXN01130,4
TXN01131,4
TXN01132,2
TXN01133,1
TXN01134,3
TXN01135,5
TXN01136,5
TXN01137,1
TXN01138,1
TXN01139,3
TXN01140,5
TXN01141,4
TXN01142,1
TXN01143,4
TXN01144,1
TXN01145,5
TXN01146,4
TXN01147,0
TXN01148,1
TXN01149,2
TXN01150,1
TXN01151,1
TXN01152,2
TXN01153,2
TXN01154,4
TXN01155,4
TXN01156,4
TXN01157,0
TXN01158,3
TXN01159,3
TXN01160,4
TXN01161,5
TXN01162,5
TXN01163,3
TXN01164,2
TXN01165,3
TXN01166,3
TXN01167,3
TXN01168,2
TXN01169,2
TXN01170,1
TXN01171,4
TXN01172,2
TXN01173,4
TXN01174,1
TXN01175,4
TXN01176,4
TXN01177,0
TXN01178,2
TXN01179,3
TXN01180,1
TXN01181,0
TXN01182,1
TXN01183,5
TXN01184,2
TXN01185,2
TXN01186,5
TXN01187,1
TXN01188,2
TXN01189,3
TXN01190,2
TXN01191,4
TXN01192,5
TXN01193,5
TXN01194,0
TXN01195,0
TXN01196,3
TXN01197,0
TXN01198,5
TXN01199,4
TXN01200,2
TXN01201,5
TXN01202,3
TXN01203,4
TXN01204,5
TXN01205,0
TXN01206,4
TXN01207,1
TXN01208,1
TXN01209,1
TXN01210,1
TXN01211,5
TXN01212,5
TXN01213,2
TXN01214,5
TXN01215,2
TXN01216,5
TXN01217,4
TXN01218,2
TXN01219,2
TXN01220,3
TXN01221,5
TXN01222,2
TXN01223,4
TXN01224,2
TXN01225,4
TXN01226,2
TXN01227,5
TXN01228,3
TXN01229,4
TXN01230,5
TXN01231,2
TXN01232,2
TXN01233,2
TXN01234,0
TXN01235,5
TXN01236,2
TXN01237,1
TXN01238,0
TXN01239,5
TXN01240,2
TXN01241,3
TXN01242,1
TXN01243,4
TXN01244,5
TXN01245,4
TXN01246,0
TXN01247,2
TXN01248,1
TXN01249,3
TXN01250,5
TXN01251,0
TXN01252,3
TXN01253,0
TXN01254,1
TXN01255,1
TXN01256,4
TXN01257,0
TXN01258,2
TXN01259,1
TXN01260,4
TXN01261,1
TXN01262,3
TXN01263,3
TXN01264,2
TXN01265,5
TXN01266,3
TXN01267,0
TXN01268,1
TXN01269,1
TXN01270,5
TXN01271,4
TXN01272,2
TXN01273,2
TXN01274,2
TXN01275,2
TXN01276,5
TXN01277,5
TXN01278,1
TXN01279,2
TXN01280,5
TXN01281,4
TXN01282,0
TXN01283,1
TXN01284,3
TXN01285,1
TXN01286,0
TXN01287,3
TXN01288,3
TXN01289,3
TXN01290,5
TXN01291,5
TXN01292,1
TXN01293,0
TXN01294,4
TXN01295,5
TXN01296,3
TXN01297,4
TXN01298,0
TXN01299,1
TXN01300,4
TXN01301,4
TXN01302,5
TXN01303,1
TXN01304,2
TXN01305,3
TXN01306,4
TXN01307,3
TXN01308,1
TXN01309,0
TXN01310,5
TXN01311,3
TXN01312,2
TXN01313,1
TXN01314,4
TXN01315,0
TXN01316,4
TXN01317,0
TXN01318,5
TXN01319,5
TXN01320,4
TXN01321,1
TXN01322,4
TXN01323,1
TXN01324,4
TXN01325,5
TXN01326,4
TXN01327,0
TXN01328,4
TXN01329,5
TXN01330,1
TXN01331,5
TXN01332,2
TXN01333,0
TXN01334,3
TXN01335,1
TXN01336,4
TXN01337,4
TXN01338,2
TXN01339,4
TXN01340,5
TXN01341,2
TXN01342,2
TXN01343,0
TXN01344,2
TXN01345,0
TXN01346,3
TXN01347,4
TXN01348,0
TXN01349,2
TXN01350,0
TXN01351,5
TXN01352,0
TXN01353,2
TXN01354,3
TXN01355,1
TXN01356,3
TXN01357,4
TXN01358,2
TXN01359,3
TXN01360,5
TXN01361,3
TXN01362,1
TXN01363,0
