Transaction_ID,Login_Frequency
TXN00001,6
TXN00002,4
TXN00003,6
TXN00004,9
TXN00005,4
TXN00006,4
TXN00007,9
TXN00008,8
TXN00009,9
TXN00010,10
TXN00011,6
TXN00012,10
TXN00013,2
TXN00014,10
TXN00015,1
TXN00016,6
TXN00017,4
TXN00018,1
TXN00019,10
TXN00020,5
TXN00021,6
TXN00022,9
TXN00023,8
TXN00024,6
TXN00025,10
TXN00026,6
TXN00027,1
TXN00028,9
TXN00029,3
TXN00030,6
TXN00031,8
TXN00032,3
TXN00033,4
TXN00034,3
TXN00035,4
TXN00036,1
TXN00037,1
TXN00038,8
TXN00039,1
TXN00040,9
TXN00041,7
TXN00042,2
TXN00043,9
TXN00044,7
TXN00045,10
TXN00046,5
TXN00047,9
TXN00048,5
TXN00049,7
TXN00050,8
TXN00051,5
TXN00052,8
TXN00053,6
TXN00054,3
TXN00055,10
TXN00056,2
TXN00057,5
TXN00058,9
TXN00059,4
TXN00060,6
TXN00061,7
TXN00062,6
TXN00063,1
TXN00064,9
TXN00065,7
TXN00066,10
TXN00067,3
TXN00068,3
TXN00069,8
TXN00070,1
TXN00071,3
TXN00072,6
TXN00073,3
TXN00074,6
TXN00075,5
TXN00076,2
TXN00077,2
TXN00078,1
TXN00079,6
TXN00080,6
TXN00081,7
TXN00082,3
TXN00083,5
TXN00084,2
TXN00085,3
TXN00086,7
TXN00087,7
TXN00088,8
TXN00089,7
TXN00090,9
TXN00091,1
TXN00092,10
TXN00093,5
TXN00094,1
TXN00095,6
TXN00096,10
TXN00097,7
TXN00098,5
TXN00099,8
TXN00100,1
TXN00101,4
TXN00102,4
TXN00103,7
TXN00104,5
TXN00105,3
TXN00106,5
TXN00107,6
TXN00108,4
TXN00109,3
TXN00110,1
TXN00111,7
TXN00112,6
TXN00113,5
TXN00114,4
TXN00115,3
TXN00116,7
TXN00117,2
TXN00118,5
TXN00119,4
TXN00120,5
TXN00121,1
TXN00122,4
TXN00123,8
TXN00124,2
TXN00125,6
TXN00126,3
TXN00127,5
TXN00128,4
TXN00129,2
TXN00130,1
TXN00131,10
TXN00132,2
TXN00133,6
TXN00134,7
TXN00135,9
TXN00136,4
TXN00137,1
TXN00138,10
TXN00139,6
TXN00140,4
TXN00141,2
TXN00142,3
TXN00143,3
TXN00144,6
TXN00145,3
TXN00146,7
TXN00147,5
TXN00148,10
TXN00149,8
TXN00150,5
TXN00151,8
TXN00152,9
TXN00153,8
TXN00154,1
TXN00155,7
TXN00156,8
TXN00157,7
TXN00158,5
TXN00159,5
TXN00160,3
TXN00161,9
TXN00162,7
TXN00163,4
TXN00164,1
TXN00165,8
TXN00166,1
TXN00167,8
TXN00168,9
TXN00169,2
TXN00170,1
TXN00171,2
TXN00172,1
TXN00173,2
TXN00174,3
TXN00175,5
TXN00176,5
TXN00177,9
TXN00178,1
TXN00179,6
TXN00180,7
TXN00181,10
TXN00182,5
TXN00183,3
TXN00184,2
TXN00185,2
TXN00186,9
TXN00187,8
TXN00188,5
TXN00189,10
TXN00190,1
TXN00191,1
TXN00192,5
TXN00193,5
TXN00194,10
TXN00195,2
TXN00196,1
TXN00197,1
TXN00198,8
TXN00199,3
TXN00200,4
TXN00201,2
TXN00202,5
TXN00203,10
TXN00204,3
TXN00205,1
TXN00206,5
TXN00207,10
TXN00208,10
TXN00209,4
TXN00210,1
TXN00211,7
TXN00212,5
TXN00213,1
TXN00214,5
TXN00215,2
TXN00216,3
TXN00217,2
