Transaction_ID,Payment_Method
TXN00001,Cash
TXN00002,Cash
TXN00003,Cash
TXN00004,Cash
TXN00005,Bank Transfer
TXN00006,Bank Transfer
TXN00007,Credit Card
TXN00008,Credit Card
TXN00009,Cash
TXN00010,Bank Transfer
TXN00011,Cash
TXN00012,Cash
TXN00013,Bank Transfer
TXN00014,Bank Transfer
TXN00015,Credit Card
TXN00016,Credit Card
TXN00017,Bank Transfer
TXN00018,Credit Card
TXN00019,Credit Card
TXN00020,Bank Transfer
TXN00021,Cash
TXN00022,Cash
TXN00023,Cash
TXN00024,Bank Transfer
TXN00025,Credit Card
TXN00026,Cash
TXN00027,Bank Transfer
TXN00028,Cash
TXN00029,Cash
TXN00030,Credit Card
TXN00031,Credit Card
TXN00032,Credit Card
TXN00033,Bank Transfer
TXN00034,Bank Transfer
TXN00035,Cash
TXN00036,Bank Transfer
TXN00037,Cash
TXN00038,Bank Transfer
TXN00039,Credit Card
TXN00040,Bank Transfer
TXN00041,Bank Transfer
TXN00042,Cash
TXN00043,Cash
TXN00044,Credit Card
TXN00045,Bank Transfer
TXN00046,Cash
TXN00047,Cash
TXN00048,Credit Card
TXN00049,Credit Card
TXN00050,Credit Card
TXN00051,Bank Transfer
TXN00052,Bank Transfer
TXN00053,Cash
TXN00054,Cash
TXN00055,Credit Card
TXN00056,Credit Card
TXN00057,Bank Transfer
TXN00058,Bank Transfer
TXN00059,Credit Card
TXN00060,Credit Card
TXN00061,Bank Transfer
TXN00062,Bank Transfer
TXN00063,Cash
TXN00064,Bank Transfer
TXN00065,Bank Transfer
TXN00066,Credit Card
TXN00067,Cash
TXN00068,Credit Card
TXN00069,Cash
TXN00070,Cash
TXN00071,Cash
TXN00072,Credit Card
TXN00073,Cash
TXN00074,Bank Transfer
TXN00075,Cash
TXN00076,Cash
TXN00077,Credit Card
TXN00078,Cash
TXN00079,Cash
TXN00080,Credit Card
TXN00081,Credit Card
TXN00082,Cash
TXN00083,Cash
TXN00084,Credit Card
TXN00085,Bank Transfer
TXN00086,Cash
TXN00087,Credit Card
TXN00088,Cash
TXN00089,Bank Transfer
TXN00090,Cash
TXN00091,Cash
TXN00092,Cash
TXN00093,Cash
TXN00094,Bank Transfer
TXN00095,Cash
TXN00096,Bank Transfer
TXN00097,Credit Card
TXN00098,Credit Card
TXN00099,Cash
TXN00100,Bank Transfer
TXN00101,Credit Card
TXN00102,Cash
TXN00103,Bank Transfer
TXN00104,Credit Card
TXN00105,Credit Card
TXN00106,Cash
TXN00107,Bank Transfer
TXN00108,Bank Transfer
TXN00109,Bank Transfer
TXN00110,Bank Transfer
TXN00111,Cash
TXN00112,Credit Card
TXN00113,Bank Transfer
TXN00114,Credit Card
TXN00115,Credit Card
TXN00116,Bank Transfer
TXN00117,Credit Card
TXN00118,Cash
TXN00119,Bank Transfer
TXN00120,Bank Transfer
TXN00121,Credit Card
TXN00122,Cash
TXN00123,Bank Transfer
TXN00124,Cash
TXN00125,Credit Card
TXN00126,Bank Transfer
TXN00127,Cash
TXN00128,Bank Transfer
TXN00129,Credit Card
TXN00130,Bank Transfer
TXN00131,Cash
TXN00132,Bank Transfer
TXN00133,Cash
TXN00134,Bank Transfer
TXN00135,Cash
TXN00136,Credit Card
TXN00137,Bank Transfer
TXN00138,Cash
TXN00139,Cash
TXN00140,Cash
TXN00141,Cash
TXN00142,Bank Transfer
TXN00143,Bank Transfer
TXN00144,Credit Card
TXN00145,Cash
TXN00146,Bank Transfer
TXN00147,Bank Transfer
TXN00148,Cash
TXN00149,Bank Transfer
TXN00150,Credit Card
TXN00151,Credit Card
TXN00152,Credit Card
TXN00153,Bank Transfer
TXN00154,Bank Transfer
TXN00155,Cash
TXN00156,Bank Transfer
TXN00157,Cash
TXN00158,Credit Card
TXN00159,Credit Card
TXN00160,Credit Card
TXN00161,Bank Transfer
TXN00162,Credit Card
TXN00163,Cash
TXN00164,Credit Card
TXN00165,Bank Transfer
TXN00166,Cash
TXN00167,Cash
TXN00168,Bank Transfer
TXN00169,Bank Transfer
TXN00170,Cash
TXN00171,Credit Card
TXN00172,Bank Transfer
TXN00173,Credit Card
TXN00174,Bank Transfer
TXN00175,Cash
TXN00176,Cash
TXN00177,Credit Card
TXN00178,Credit Card
TXN00179,Credit Card
TXN00180,Credit Card
TXN00181,Cash
TXN00182,Bank Transfer
TXN00183,Bank Transfer
TXN00184,Cash
TXN00185,Cash
TXN00186,Cash
TXN00187,Credit Card
TXN00188,Cash
TXN00189,Bank Transfer
TXN00190,Credit Card
TXN00191,Credit Card
TXN00192,Credit Card
TXN00193,Bank Transfer
TXN00194,Cash
TXN00195,Cash
TXN00196,Credit Card
TXN00197,Bank Transfer
TXN00198,Credit Card
TXN00199,Credit Card
TXN00200,Credit Card
TXN00201,Bank Transfer
TXN00202,Cash
TXN00203,Cash
TXN00204,Cash
TXN00205,Cash
TXN00206,Bank Transfer
TXN00207,Bank Transfer
TXN00208,Credit Card
TXN00209,Bank Transfer
TXN00210,Credit Card
TXN00211,Credit Card
TXN00212,Cash
TXN00213,Bank Transfer
TXN00214,Credit Card
TXN00215,Credit Card
