Transaction_ID,Risk_Incident
TXN00001,0
TXN00002,1
TXN00003,0
TXN00004,0
TXN00005,0
TXN00006,0
TXN00007,0
TXN00008,1
TXN00009,0
TXN00010,0
TXN00011,0
TXN00012,1
TXN00013,0
TXN00014,0
TXN00015,0
TXN00016,0
TXN00017,0
TXN00018,0
TXN00019,0
TXN00020,0
TXN00021,0
TXN00022,0
TXN00023,0
TXN00024,0
TXN00025,0
TXN00026,0
TXN00027,0
TXN00028,0
TXN00029,0
TXN00030,0
TXN00031,0
TXN00032,0
TXN00033,0
TXN00034,1
TXN00035,1
TXN00036,0
TXN00037,0
TXN00038,0
TXN00039,0
TXN00040,0
TXN00041,0
TXN00042,0
TXN00043,0
TXN00044,1
TXN00045,0
TXN00046,0
TXN00047,0
TXN00048,0
TXN00049,0
TXN00050,0
TXN00051,1
TXN00052,0
TXN00053,1
TXN00054,1
TXN00055,0
TXN00056,1
TXN00057,0
TXN00058,0
TXN00059,0
TXN00060,0
TXN00061,0
TXN00062,0
TXN00063,0
TXN00064,0
TXN00065,0
TXN00066,0
TXN00067,0
TXN00068,0
TXN00069,0
TXN00070,1
TXN00071,0
TXN00072,0
TXN00073,0
TXN00074,0
TXN00075,0
TXN00076,0
TXN00077,0
TXN00078,0
TXN00079,0
TXN00080,0
TXN00081,1
TXN00082,0
TXN00083,0
TXN00084,0
TXN00085,0
TXN00086,0
TXN00087,0
TXN00088,0
TXN00089,1
TXN00090,0
TXN00091,0
TXN00092,0
TXN00093,0
TXN00094,0
TXN00095,0
TXN00096,0
TXN00097,0
TXN00098,0
TXN00099,0
TXN00100,0
TXN00101,0
TXN00102,0
TXN00103,0
TXN00104,0
TXN00105,1
TXN00106,0
TXN00107,0
TXN00108,0
TXN00109,0
TXN00110,0
TXN00111,0
TXN00112,0
TXN00113,1
TXN00114,0
TXN00115,0
TXN00116,1
TXN00117,0
TXN00118,0
TXN00119,1
TXN00120,0
TXN00121,0
TXN00122,1
TXN00123,0
TXN00124,0
TXN00125,0
TXN00126,0
TXN00127,0
TXN00128,1
TXN00129,0
TXN00130,0
TXN00131,0
TXN00132,0
TXN00133,0
TXN00134,0
TXN00135,1
TXN00136,0
TXN00137,0
TXN00138,0
TXN00139,0
TXN00140,1
TXN00141,1
TXN00142,0
TXN00143,0
TXN00144,0
TXN00145,0
TXN00146,0
TXN00147,0
TXN00148,0
TXN00149,0
TXN00150,0
TXN00151,1
TXN00152,0
TXN00153,0
TXN00154,0
TXN00155,1
TXN00156,0
TXN00157,0
TXN00158,0
TXN00159,0
TXN00160,0
TXN00161,0
TXN00162,0
TXN00163,0
TXN00164,0
TXN00165,0
TXN00166,0
TXN00167,0
TXN00168,0
TXN00169,0
TXN00170,0
TXN00171,0
TXN00172,0
TXN00173,0
TXN00174,0
TXN00175,0
TXN00176,0
TXN00177,0
TXN00178,0
TXN00179,1
TXN00180,0
TXN00181,0
TXN00182,0
TXN00183,1
TXN00184,1
TXN00185,0
TXN00186,0
TXN00187,0
TXN00188,0
TXN00189,0
TXN00190,0
TXN00191,0
TXN00192,1
TXN00193,1
TXN00194,0
TXN00195,0
TXN00196,0
TXN00197,0
TXN00198,1
TXN00199,1
TXN00200,0
TXN00201,0
TXN00202,0
TXN00203,0
TXN00204,1
TXN00205,0
TXN00206,0
TXN00207,0
TXN00208,0
TXN00209,0
TXN00210,0
TXN00211,0
TXN00212,0
TXN00213,0
TXN00214,0
TXN00215,0
TXN00216,0
TXN00217,0
TXN00218,0
TXN00219,0
TXN00220,0
TXN00221,0
TXN00222,0
TXN00223,0
TXN00224,0
TXN00225,0
TXN00226,0
TXN00227,1
TXN00228,0
TXN00229,1
TXN00230,0
TXN00231,0
TXN00232,0
TXN00233,0
TXN00234,0
TXN00235,0
TXN00236,0
TXN00237,0
TXN00238,0
TXN00239,0
TXN00240,0
TXN00241,1
TXN00242,1
TXN00243,1
TXN00244,0
TXN00245,0
TXN00246,1
TXN00247,0
TXN00248,1
TXN00249,1
TXN00250,1
TXN00251,0
TXN00252,0
TXN00253,1
TXN00254,0
TXN00255,0
TXN00256,0
TXN00257,1
TXN00258,0
TXN00259,0
TXN00260,0
TXN00261,0
TXN00262,1
TXN00263,0
TXN00264,0
TXN00265,1
TXN00266,0
TXN00267,0
TXN00268,0
TXN00269,0
TXN00270,0
TXN00271,0
TXN00272,0
TXN00273,1
TXN00274,1
TXN00275,0
TXN00276,0
TXN00277,0
TXN00278,0
TXN00279,0
TXN00280,0
TXN00281,1
TXN00282,0
TXN00283,0
TXN00284,0
TXN00285,0
TXN00286,0
TXN00287,0
TXN00288,0
TXN00289,0
TXN00290,0
TXN00291,0
TXN00292,0
TXN00293,0
TXN00294,0
TXN00295,0
TXN00296,0
TXN00297,0
TXN00298,0
TXN00299,0
TXN00300,0
TXN00301,0
TXN00302,0
TXN00303,0
TXN00304,0
TXN00305,0
TXN00306,1
TXN00307,0
TXN00308,0
TXN00309,0
TXN00310,0
TXN00311,0
TXN00312,0
TXN00313,0
TXN00314,1
TXN00315,0
TXN00316,0
TXN00317,0
TXN00318,0
TXN00319,0
TXN00320,0
TXN00321,0
TXN00322,0
TXN00323,0
TXN00324,0
TXN00325,1
TXN00326,0
TXN00327,0
TXN00328,0
TXN00329,0
TXN00330,0
TXN00331,0
TXN00332,0
TXN00333,0
TXN00334,0
TXN00335,0
TXN00336,0
TXN00337,1
TXN00338,0
TXN00339,0
TXN00340,0
TXN00341,0
TXN00342,0
TXN00343,0
TXN00344,0
TXN00345,0
