Transaction_ID,Risk_Type
TXN00001,None
TXN00002,Error
TXN00003,None
TXN00004,None
TXN00005,None
TXN00006,None
TXN00007,None
TXN00008,Misstatement
TXN00009,None
TXN00010,None
TXN00011,None
TXN00012,Fraud
TXN00013,None
TXN00014,None
TXN00015,None
TXN00016,None
TXN00017,None
TXN00018,None
TXN00019,None
TXN00020,None
TXN00021,None
TXN00022,None
TXN00023,None
TXN00024,None
TXN00025,None
TXN00026,None
TXN00027,None
TXN00028,None
TXN00029,None
TXN00030,None
TXN00031,None
TXN00032,None
TXN00033,None
TXN00034,Fraud
TXN00035,Fraud
TXN00036,None
TXN00037,None
TXN00038,None
TXN00039,None
TXN00040,None
TXN00041,None
TXN00042,None
TXN00043,None
TXN00044,Error
TXN00045,None
TXN00046,None
TXN00047,None
TXN00048,None
TXN00049,None
TXN00050,None
TXN00051,Misstatement
TXN00052,None
TXN00053,Error
TXN00054,Fraud
TXN00055,None
TXN00056,Misstatement
TXN00057,None
TXN00058,None
TXN00059,None
TXN00060,None
TXN00061,None
TXN00062,None
TXN00063,None
TXN00064,None
TXN00065,None
TXN00066,None
TXN00067,None
TXN00068,None
TXN00069,None
TXN00070,Fraud
TXN00071,None
TXN00072,None
TXN00073,None
TXN00074,None
TXN00075,None
TXN00076,None
TXN00077,None
TXN00078,None
TXN00079,None
TXN00080,None
TXN00081,Misstatement
TXN00082,None
TXN00083,None
TXN00084,None
TXN00085,None
TXN00086,None
TXN00087,None
TXN00088,None
TXN00089,Error
TXN00090,None
TXN00091,None
TXN00092,None
TXN00093,None
TXN00094,None
TXN00095,None
TXN00096,None
TXN00097,None
TXN00098,None
TXN00099,None
TXN00100,None
TXN00101,None
TXN00102,None
TXN00103,None
TXN00104,None
TXN00105,Fraud
TXN00106,None
TXN00107,None
TXN00108,None
TXN00109,None
TXN00110,None
TXN00111,None
TXN00112,None
TXN00113,Fraud
TXN00114,None
TXN00115,None
TXN00116,Fraud
TXN00117,None
TXN00118,None
TXN00119,Misstatement
TXN00120,None
TXN00121,None
TXN00122,Misstatement
TXN00123,None
TXN00124,None
TXN00125,None
TXN00126,None
TXN00127,None
TXN00128,Misstatement
TXN00129,None
TXN00130,None
TXN00131,None
TXN00132,None
TXN00133,None
