Transaction_ID,System_Latency
TXN00001,299.26
TXN00002,248.61
TXN00003,378.61
TXN00004,242.19
TXN00005,327.81
TXN00006,141.74
TXN00007,129.93
TXN00008,177.14
TXN00009,343.45
TXN00010,474.56
TXN00011,238.58
TXN00012,383.0
TXN00013,309.31
TXN00014,226.95
TXN00015,474.98
TXN00016,483.06
TXN00017,451.88
TXN00018,179.89
TXN00019,300.67
TXN00020,385.05
TXN00021,135.6
TXN00022,196.61
TXN00023,239.64
TXN00024,258.97
TXN00025,269.69
TXN00026,347.05
TXN00027,489.35
TXN00028,198.98
TXN00029,494.8
TXN00030,423.15
TXN00031,317.04
TXN00032,422.25
TXN00033,242.16
TXN00034,454.09
TXN00035,314.88
TXN00036,365.72
TXN00037,127.32
TXN00038,361.33
TXN00039,469.37
TXN00040,230.81
TXN00041,373.01
TXN00042,461.58
TXN00043,377.0
TXN00044,340.0
TXN00045,399.99
TXN00046,497.27
TXN00047,409.97
TXN00048,466.45
TXN00049,272.87
TXN00050,205.49
TXN00051,269.83
TXN00052,341.1
TXN00053,353.53
TXN00054,268.36
TXN00055,479.59
TXN00056,336.76
TXN00057,257.33
TXN00058,454.13
TXN00059,474.34
TXN00060,213.58
TXN00061,272.65
TXN00062,444.0
TXN00063,434.6
TXN00064,294.1
TXN00065,335.94
TXN00066,176.5
TXN00067,292.55
TXN00068,390.75
TXN00069,342.48
TXN00070,494.64
TXN00071,136.18
TXN00072,451.09
TXN00073,152.45
TXN00074,495.22
TXN00075,426.7
TXN00076,297.78
TXN00077,130.83
TXN00078,403.6
TXN00079,371.87
TXN00080,498.72
TXN00081,225.12
TXN00082,388.12
TXN00083,370.44
TXN00084,150.88
TXN00085,103.61
TXN00086,316.01
TXN00087,364.16
TXN00088,163.54
TXN00089,466.04
TXN00090,149.68
TXN00091,444.18
TXN00092,246.13
TXN00093,130.09
TXN00094,116.59
TXN00095,209.61
TXN00096,240.74
TXN00097,418.6
TXN00098,168.61
TXN00099,221.9
TXN00100,494.49
TXN00101,208.26
TXN00102,375.45
TXN00103,160.2
TXN00104,137.54
TXN00105,234.63
TXN00106,263.21
TXN00107,352.87
TXN00108,194.33
TXN00109,184.86
TXN00110,371.25
TXN00111,114.59
TXN00112,162.26
TXN00113,175.44
TXN00114,152.59
TXN00115,151.29
TXN00116,196.23
TXN00117,315.38
TXN00118,481.76
TXN00119,105.8
TXN00120,121.46
TXN00121,297.81
TXN00122,225.35
TXN00123,442.05
TXN00124,402.69
TXN00125,435.27
TXN00126,126.22
TXN00127,209.46
TXN00128,163.85
TXN00129,156.46
TXN00130,213.23
TXN00131,219.01
TXN00132,401.21
TXN00133,238.61
TXN00134,295.14
TXN00135,247.63
TXN00136,403.99
TXN00137,398.25
TXN00138,184.94
TXN00139,446.85
TXN00140,476.66
TXN00141,306.2
TXN00142,441.99
TXN00143,355.86
TXN00144,452.79
TXN00145,343.24
TXN00146,286.25
TXN00147,155.89
TXN00148,207.93
TXN00149,220.91
TXN00150,415.09
TXN00151,134.42
TXN00152,462.92
TXN00153,104.81
TXN00154,293.69
TXN00155,367.71
TXN00156,169.56
TXN00157,371.07
TXN00158,381.04
TXN00159,196.61
TXN00160,471.45
TXN00161,402.6
TXN00162,295.59
TXN00163,351.84
TXN00164,188.24
TXN00165,274.47
TXN00166,237.26
TXN00167,276.33
TXN00168,125.95
TXN00169,150.91
TXN00170,242.79
TXN00171,478.81
TXN00172,235.02
TXN00173,223.99
TXN00174,470.7
TXN00175,215.24
TXN00176,475.04
TXN00177,171.89
TXN00178,255.85
TXN00179,271.2
TXN00180,235.83
TXN00181,373.34
TXN00182,332.04
TXN00183,419.45
TXN00184,330.84
TXN00185,447.98
TXN00186,342.89
TXN00187,171.69
TXN00188,383.12
TXN00189,432.91
TXN00190,484.69
TXN00191,238.3
TXN00192,473.49
TXN00193,139.29
TXN00194,453.88
TXN00195,432.2
TXN00196,189.03
TXN00197,199.82
TXN00198,120.22
TXN00199,163.04
TXN00200,347.49
TXN00201,396.34
TXN00202,488.97
TXN00203,357.61
TXN00204,232.22
TXN00205,172.37
TXN00206,215.21
TXN00207,278.59
TXN00208,175.58
TXN00209,381.94
TXN00210,432.89
TXN00211,127.95
TXN00212,152.64
TXN00213,445.95
TXN00214,445.82
TXN00215,188.42
TXN00216,467.58
TXN00217,375.46
TXN00218,143.86
TXN00219,494.56
TXN00220,238.65
TXN00221,196.97
TXN00222,378.73
TXN00223,245.05
TXN00224,284.78
TXN00225,468.03
TXN00226,479.57
TXN00227,420.82
TXN00228,133.71
TXN00229,395.76
TXN00230,268.57
TXN00231,369.34
TXN00232,493.21
TXN00233,113.44
TXN00234,470.46
TXN00235,256.64
TXN00236,361.38
TXN00237,369.19
TXN00238,339.22
TXN00239,118.34
TXN00240,386.86
TXN00241,433.66
TXN00242,175.84
TXN00243,200.47
TXN00244,186.24
TXN00245,206.82
TXN00246,200.39
TXN00247,429.48
TXN00248,399.5
TXN00249,325.37
TXN00250,417.75
TXN00251,335.3
TXN00252,201.15
TXN00253,162.52
TXN00254,404.06
TXN00255,469.31
TXN00256,102.98
TXN00257,122.55
TXN00258,351.7
TXN00259,166.06
TXN00260,455.68
TXN00261,276.57
TXN00262,387.12
TXN00263,195.59
TXN00264,162.88
TXN00265,303.44
TXN00266,438.87
TXN00267,302.91
TXN00268,453.0
TXN00269,278.41
TXN00270,318.15
TXN00271,367.46
TXN00272,142.57
TXN00273,340.63
TXN00274,187.32
TXN00275,316.16
TXN00276,248.85
TXN00277,115.8
TXN00278,117.44
TXN00279,117.35
TXN00280,124.0
TXN00281,269.2
TXN00282,353.65
TXN00283,156.2
TXN00284,305.79
TXN00285,444.19
TXN00286,358.16
TXN00287,290.34
TXN00288,278.38
TXN00289,232.28
TXN00290,260.99
TXN00291,320.61
TXN00292,148.24
TXN00293,166.28
TXN00294,363.23
TXN00295,485.57
TXN00296,361.69
TXN00297,196.53
TXN00298,209.69
TXN00299,268.46
TXN00300,186.64
TXN00301,173.52
TXN00302,214.82
TXN00303,251.42
TXN00304,359.4
TXN00305,488.86
TXN00306,368.06
TXN00307,442.27
TXN00308,311.34
TXN00309,475.31
TXN00310,408.49
TXN00311,233.67
TXN00312,399.43
TXN00313,393.94
TXN00314,233.16
TXN00315,286.22
TXN00316,298.03
TXN00317,225.43
TXN00318,495.24
TXN00319,127.19
TXN00320,495.73
TXN00321,246.58
TXN00322,415.04
TXN00323,437.25
TXN00324,299.88
TXN00325,327.55
TXN00326,254.64
TXN00327,381.45
TXN00328,326.53
TXN00329,465.25
TXN00330,263.36
TXN00331,415.63
TXN00332,105.04
TXN00333,414.26
TXN00334,356.23
TXN00335,407.65
TXN00336,471.34
TXN00337,382.14
TXN00338,279.08
TXN00339,225.91
TXN00340,172.94
