Transaction_ID,Transaction_Type
TXN00001,Refund
TXN00002,Debit
TXN00003,Debit
TXN00004,Refund
TXN00005,Credit
TXN00006,Debit
TXN00007,Debit
TXN00008,Debit
TXN00009,Refund
TXN00010,Debit
TXN00011,Refund
TXN00012,Refund
TXN00013,Refund
TXN00014,Debit
TXN00015,Refund
TXN00016,Credit
TXN00017,Debit
TXN00018,Debit
TXN00019,Debit
TXN00020,Debit
TXN00021,Debit
TXN00022,Refund
TXN00023,Refund
TXN00024,Debit
TXN00025,Refund
TXN00026,Debit
TXN00027,Refund
TXN00028,Refund
TXN00029,Refund
TXN00030,Refund
TXN00031,Credit
TXN00032,Debit
TXN00033,Credit
TXN00034,Refund
TXN00035,Credit
TXN00036,Debit
TXN00037,Debit
TXN00038,Refund
TXN00039,Credit
TXN00040,Credit
TXN00041,Credit
TXN00042,Debit
TXN00043,Debit
TXN00044,Credit
TXN00045,Debit
TXN00046,Debit
TXN00047,Credit
TXN00048,Debit
TXN00049,Credit
TXN00050,Credit
TXN00051,Refund
TXN00052,Credit
TXN00053,Debit
TXN00054,Refund
TXN00055,Credit
TXN00056,Refund
TXN00057,Debit
TXN00058,Credit
TXN00059,Debit
TXN00060,Refund
TXN00061,Credit
TXN00062,Refund
TXN00063,Refund
TXN00064,Credit
TXN00065,Refund
TXN00066,Debit
TXN00067,Refund
TXN00068,Debit
TXN00069,Debit
TXN00070,Refund
TXN00071,Debit
TXN00072,Credit
TXN00073,Debit
TXN00074,Debit
TXN00075,Debit
TXN00076,Credit
TXN00077,Credit
TXN00078,Credit
TXN00079,Refund
TXN00080,Credit
TXN00081,Debit
TXN00082,Credit
TXN00083,Credit
TXN00084,Debit
TXN00085,Refund
TXN00086,Credit
TXN00087,Refund
TXN00088,Refund
TXN00089,Refund
TXN00090,Debit
TXN00091,Refund
TXN00092,Refund
TXN00093,Debit
TXN00094,Refund
TXN00095,Refund
TXN00096,Debit
TXN00097,Debit
TXN00098,Credit
TXN00099,Credit
TXN00100,Credit
TXN00101,Refund
TXN00102,Refund
TXN00103,Refund
TXN00104,Debit
TXN00105,Refund
TXN00106,Credit
TXN00107,Debit
TXN00108,Debit
TXN00109,Debit
TXN00110,Credit
TXN00111,Credit
TXN00112,Credit
TXN00113,Debit
TXN00114,Debit
TXN00115,Refund
TXN00116,Refund
TXN00117,Credit
TXN00118,Debit
TXN00119,Refund
TXN00120,Credit
TXN00121,Credit
TXN00122,Refund
TXN00123,Credit
TXN00124,Debit
TXN00125,Credit
TXN00126,Debit
TXN00127,Debit
TXN00128,Refund
TXN00129,Refund
TXN00130,Refund
TXN00131,Credit
TXN00132,Refund
TXN00133,Refund
TXN00134,Credit
TXN00135,Refund
TXN00136,Credit
TXN00137,Credit
TXN00138,Debit
TXN00139,Debit
TXN00140,Refund
TXN00141,Credit
TXN00142,Debit
TXN00143,Debit
TXN00144,Debit
TXN00145,Debit
TXN00146,Refund
TXN00147,Debit
TXN00148,Refund
TXN00149,Credit
TXN00150,Refund
TXN00151,Debit
TXN00152,Credit
TXN00153,Credit
TXN00154,Refund
TXN00155,Credit
TXN00156,Refund
TXN00157,Credit
TXN00158,Refund
TXN00159,Debit
TXN00160,Refund
TXN00161,Refund
TXN00162,Debit
TXN00163,Refund
TXN00164,Refund
TXN00165,Credit
TXN00166,Refund
TXN00167,Credit
TXN00168,Debit
TXN00169,Credit
TXN00170,Credit
TXN00171,Debit
TXN00172,Credit
TXN00173,Debit
TXN00174,Refund
TXN00175,Refund
TXN00176,Credit
TXN00177,Refund
TXN00178,Debit
TXN00179,Refund
TXN00180,Debit
TXN00181,Refund
TXN00182,Credit
TXN00183,Refund
TXN00184,Refund
TXN00185,Refund
TXN00186,Debit
TXN00187,Debit
TXN00188,Credit
TXN00189,Debit
TXN00190,Refund
TXN00191,Refund
TXN00192,Debit
TXN00193,Refund
TXN00194,Credit
TXN00195,Credit
TXN00196,Debit
TXN00197,Debit
TXN00198,Credit
TXN00199,Credit
TXN00200,Debit
TXN00201,Debit
TXN00202,Debit
TXN00203,Refund
TXN00204,Debit
TXN00205,Debit
TXN00206,Refund
TXN00207,Credit
TXN00208,Debit
TXN00209,Refund
TXN00210,Debit
TXN00211,Debit
TXN00212,Refund
TXN00213,Credit
TXN00214,Refund
TXN00215,Debit
TXN00216,Credit
TXN00217,Refund
TXN00218,Refund
TXN00219,Credit
TXN00220,Debit
TXN00221,Refund
TXN00222,Refund
TXN00223,Refund
TXN00224,Debit
TXN00225,Refund
TXN00226,Credit
TXN00227,Credit
TXN00228,Refund
TXN00229,Refund
TXN00230,Credit
TXN00231,Credit
TXN00232,Refund
TXN00233,Credit
TXN00234,Debit
TXN00235,Debit
TXN00236,Debit
TXN00237,Debit
TXN00238,Credit
TXN00239,Debit
TXN00240,Refund
TXN00241,Refund
TXN00242,Debit
TXN00243,Refund
TXN00244,Debit
TXN00245,Debit
TXN00246,Debit
TXN00247,Refund
TXN00248,Refund
TXN00249,Debit
TXN00250,Debit
TXN00251,Debit
TXN00252,Debit
TXN00253,Credit
TXN00254,Debit
TXN00255,Refund
TXN00256,Debit
TXN00257,Credit
TXN00258,Refund
TXN00259,Credit
TXN00260,Debit
TXN00261,Refund
TXN00262,Debit
TXN00263,Refund
TXN00264,Refund
TXN00265,Refund
TXN00266,Credit
TXN00267,Debit
TXN00268,Credit
TXN00269,Credit
TXN00270,Debit
TXN00271,Debit
TXN00272,Debit
TXN00273,Refund
TXN00274,Credit
TXN00275,Credit
TXN00276,Credit
TXN00277,Credit
TXN00278,Credit
TXN00279,Refund
TXN00280,Debit
TXN00281,Refund
TXN00282,Refund
TXN00283,Refund
TXN00284,Debit
TXN00285,Debit
TXN00286,Credit
TXN00287,Refund
TXN00288,Credit
TXN00289,Debit
TXN00290,Debit
TXN00291,Debit
TXN00292,Debit
TXN00293,Refund
TXN00294,Credit
TXN00295,Debit
TXN00296,Credit
TXN00297,Debit
TXN00298,Credit
TXN00299,Credit
TXN00300,Debit
TXN00301,Debit
TXN00302,Credit
TXN00303,Refund
TXN00304,Debit
TXN00305,Debit
TXN00306,Refund
TXN00307,Refund
TXN00308,Debit
TXN00309,Debit
TXN00310,Debit
TXN00311,Debit
TXN00312,Credit
TXN00313,Credit
TXN00314,Credit
TXN00315,Debit
TXN00316,Credit
TXN00317,Debit
TXN00318,Debit
TXN00319,Credit
TXN00320,Debit
TXN00321,Credit
TXN00322,Credit
TXN00323,Credit
TXN00324,Credit
TXN00325,Credit
TXN00326,Refund
TXN00327,Refund
TXN00328,Refund
TXN00329,Refund
TXN00330,Refund
TXN00331,Credit
TXN00332,Debit
TXN00333,Debit
TXN00334,Credit
TXN00335,Debit
TXN00336,Debit
TXN00337,Refund
TXN00338,Refund
TXN00339,Refund
TXN00340,Debit
TXN00341,Refund
TXN00342,Credit
TXN00343,Debit
TXN00344,Debit
TXN00345,Refund
TXN00346,Credit
TXN00347,Refund
TXN00348,Refund
TXN00349,Debit
TXN00350,Debit
TXN00351,Refund
TXN00352,Debit
TXN00353,Debit
TXN00354,Debit
TXN00355,Refund
TXN00356,Debit
TXN00357,Refund
TXN00358,Debit
TXN00359,Credit
TXN00360,Debit
TXN00361,Refund
TXN00362,Debit
TXN00363,Refund
TXN00364,Refund
TXN00365,Debit
TXN00366,Refund
TXN00367,Debit
TXN00368,Credit
TXN00369,Refund
TXN00370,Refund
TXN00371,Refund
TXN00372,Refund
TXN00373,Credit
TXN00374,Credit
TXN00375,Debit
TXN00376,Refund
TXN00377,Refund
TXN00378,Credit
TXN00379,Debit
TXN00380,Credit
TXN00381,Credit
TXN00382,Debit
TXN00383,Refund
TXN00384,Refund
TXN00385,Credit
TXN00386,Credit
TXN00387,Credit
TXN00388,Debit
TXN00389,Debit
TXN00390,Credit
TXN00391,Refund
TXN00392,Refund
TXN00393,Debit
TXN00394,Debit
TXN00395,Refund
TXN00396,Debit
TXN00397,Refund
TXN00398,Credit
TXN00399,Debit
TXN00400,Credit
TXN00401,Debit
TXN00402,Debit
TXN00403,Credit
TXN00404,Credit
TXN00405,Debit
TXN00406,Credit
TXN00407,Refund
TXN00408,Refund
TXN00409,Credit
TXN00410,Refund
TXN00411,Refund
TXN00412,Refund
TXN00413,Debit
TXN00414,Refund
TXN00415,Refund
TXN00416,Credit
TXN00417,Refund
TXN00418,Debit
TXN00419,Debit
TXN00420,Credit
TXN00421,Debit
TXN00422,Debit
TXN00423,Refund
TXN00424,Refund
TXN00425,Debit
TXN00426,Credit
TXN00427,Credit
TXN00428,Refund
TXN00429,Debit
TXN00430,Refund
TXN00431,Credit
TXN00432,Debit
TXN00433,Refund
TXN00434,Refund
TXN00435,Credit
TXN00436,Refund
TXN00437,Credit
TXN00438,Credit
TXN00439,Debit
TXN00440,Debit
TXN00441,Refund
TXN00442,Credit
TXN00443,Credit
TXN00444,Debit
TXN00445,Debit
TXN00446,Credit
TXN00447,Debit
TXN00448,Refund
TXN00449,Credit
TXN00450,Debit
TXN00451,Refund
TXN00452,Credit
TXN00453,Refund
TXN00454,Refund
TXN00455,Credit
TXN00456,Refund
TXN00457,Debit
TXN00458,Debit
TXN00459,Debit
TXN00460,Refund
TXN00461,Debit
TXN00462,Refund
TXN00463,Debit
TXN00464,Credit
TXN00465,Refund
TXN00466,Refund
TXN00467,Debit
TXN00468,Credit
TXN00469,Debit
TXN00470,Debit
TXN00471,Credit
TXN00472,Credit
TXN00473,Debit
TXN00474,Credit
TXN00475,Debit
TXN00476,Refund
TXN00477,Debit
TXN00478,Refund
TXN00479,Debit
TXN00480,Credit
TXN00481,Refund
TXN00482,Credit
TXN00483,Refund
TXN00484,Refund
TXN00485,Debit
TXN00486,Debit
TXN00487,Debit
TXN00488,Debit
TXN00489,Credit
TXN00490,Debit
TXN00491,Debit
TXN00492,Refund
TXN00493,Credit
TXN00494,Credit
TXN00495,Refund
TXN00496,Refund
TXN00497,Debit
